[[0.44633549390202587, 1.0, 1.0], [0.23073980592119048, 1.0, 0.0], [4.227188981049813, 1.0, -1.0], [0.2155956879808354, 0.0, 1.0], [5.924342006417164, 0.0, -1.0], [5.055272119348086, -1.0, 1.0], [6.0, -1.0, 0.0], [9.122690025049607, -1.0, -1.0]]
[[3.7871774411902814, 1.0, 1.0], [2.0936144765694724, 1.0, 0.0], [8.093614476569472, 1.0, -1.0], [5.76452392990554, 0.0, 1.0], [6.0, 0.0, -1.0], [10.679938452692099, -1.0, 1.0], [6.0, -1.0, 0.0], [9.31096358941166, -1.0, -1.0]]
[[2.4700309227178066, 1.0, 1.0], [1.6229823947058124, 1.0, 0.0], [4.508314773662063, 1.0, -1.0], [0.8470485280119943, 0.0, 1.0], [6.0, 0.0, -1.0], [1.3765411999057584, -1.0, 1.0], [3.6700445805128297, -1.0, 0.0], [9.67004458051283, -1.0, -1.0]]
[[4.809566727972866, 1.0, 1.0], [0.6035249433078529, 1.0, 0.0], [3.1643493655465154, 1.0, -1.0], [5.442541831844842, 0.0, 1.0], [2.6548256751647243, 0.0, -1.0], [9.127791415631284, -1.0, 1.0], [6.0, -1.0, 0.0], [7.413191383111441, -1.0, -1.0]]
[[1.898556736513081, 1.0, 1.0], [2.7444368974528888, 1.0, 0.0], [3.5903170583926967, 1.0, -1.0], [1.6651067063770122, 0.0, 1.0], [5.314522279954895, 0.0, -1.0], [7.665106706377012, -1.0, 1.0], [6.0, -1.0, 0.0], [11.314522279954895, -1.0, -1.0]]
[[8.796153069226941, 1.0, 1.0], [6.0, 1.0, 0.0], [7.8179864024057375, 1.0, -1.0], [3.7649695722964402, 0.0, 1.0], [6.0, 0.0, -1.0], [1.0260116235691035, -1.0, 1.0], [6.0, -1.0, 0.0], [11.848727022179578, -1.0, -1.0]]
[[4.2810261760303545, 1.0, 1.0], [6.0, 1.0, 0.0], [12.0, 1.0, -1.0], [4.497371468259771, 0.0, 1.0], [6.0, 0.0, -1.0], [4.945650340677494, -1.0, 1.0], [2.508266966330218, -1.0, 0.0], [3.467326782622563, -1.0, -1.0]]
[[10.93704235003002, 1.0, 1.0], [6.0, 1.0, 0.0], [6.889431214010701, 1.0, -1.0], [5.25972361609276, 0.0, 1.0], [5.864147081908404, 0.0, -1.0], [0.4122074455506175, -1.0, 1.0], [2.0939526123066607, -1.0, 0.0], [7.249019298811954, -1.0, -1.0]]
[[1.6618180464145915, 1.0, 1.0], [6.0, 1.0, 0.0], [10.57202268101494, 1.0, -1.0], [6.0, 0.0, 1.0], [6.0, 0.0, -1.0], [12.0, -1.0, 1.0], [6.0, -1.0, 0.0], [5.546376334875287, -1.0, -1.0]]
[[1.545143333143466, 1.0, 1.0], [3.0066792146660424, 1.0, 0.0], [6.996082184233552, 1.0, -1.0], [6.0, 0.0, 1.0], [5.083740803002174, 0.0, -1.0], [12.0, -1.0, 1.0], [6.0, -1.0, 0.0], [7.31372288652943, -1.0, -1.0]]
[[9.09079307500838, 1.0, 1.0], [6.0, 1.0, 0.0], [4.577089980946409, 1.0, -1.0], [6.0, 0.0, 1.0], [3.438205675278246, 0.0, -1.0], [9.55598791686181, -1.0, 1.0], [6.0, -1.0, 0.0], [9.438205675278246, -1.0, -1.0]]
[[10.301059629903488, 1.0, 1.0], [6.0, 1.0, 0.0], [4.878160782292798, 1.0, -1.0], [4.301059629903488, 0.0, 1.0], [5.44608159863204, 0.0, -1.0], [8.539626760418232, -1.0, 1.0], [5.12778026212641, -1.0, 0.0], [8.622509836696834, -1.0, -1.0]]
[[3.6356962368739016, 1.0, 1.0], [2.328132913716494, 1.0, 0.0], [3.1354369027949547, 1.0, -1.0], [6.0, 0.0, 1.0], [5.85228174077353, 0.0, -1.0], [12.0, -1.0, 1.0], [6.0, -1.0, 0.0], [8.569126578752105, -1.0, -1.0]]
[[4.033005070886924, 1.0, 1.0], [5.093799789365525, 1.0, 0.0], [6.154594507844125, 1.0, -1.0], [3.0025113112200836, 0.0, 1.0], [4.809902725865617, 0.0, -1.0], [2.473368504910627, -1.0, 1.0], [4.752685115250712, -1.0, 0.0], [9.56258784111633, -1.0, -1.0]]
[[1.0438531920831484, 1.0, 1.0], [0.5562888769465347, 1.0, 0.0], [1.732007346381864, 1.0, -1.0], [0.4875643151366137, 0.0, 1.0], [3.3780085895753253, 0.0, -1.0], [2.9890566418979736, -1.0, 1.0], [5.429162349393644, -1.0, 0.0], [8.80717093896897, -1.0, -1.0]]
[[2.5529375271722943, 1.0, 1.0], [5.495953628525549, 1.0, 0.0], [11.495953628525548, 1.0, -1.0], [2.449441226148414, 0.0, 1.0], [6.0, 0.0, -1.0], [4.566975901780541, -1.0, 1.0], [6.0, -1.0, 0.0], [12.0, -1.0, -1.0]]
[[4.929632366871664, 1.0, 1.0], [1.9249163952164376, 1.0, 0.0], [6.731265015305515, 1.0, -1.0], [4.0136540256458915, 0.0, 1.0], [4.806348620089077, 0.0, -1.0], [4.154799046844557, -1.0, 1.0], [4.536547675272502, -1.0, 0.0], [4.918296303700446, -1.0, -1.0]]
[[8.636259760764755, 1.0, 1.0], [6.0, 1.0, 0.0], [12.0, 1.0, -1.0], [4.278266787960522, 0.0, 1.0], [6.0, 0.0, -1.0], [8.858414619642819, -1.0, 1.0], [6.0, -1.0, 0.0], [7.0959826097655245, -1.0, -1.0]]
